timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667623345935,2416,Request1,200,OK,Thread Group 1-9,text,true,,18167,230,10,10,https://www.google.com/,1902,0,0
1667623345935,1902,Request1-0,301,Moved Permanently,Thread Group 1-9,text,true,,703,113,10,10,https://google.com/,1902,0,0
1667623347839,512,Request1-1,200,OK,Thread Group 1-9,text,true,,17464,117,10,10,https://www.google.com/,501,0,0
1667623347322,1056,Request1,200,OK,Thread Group 1-5,text,true,,18149,230,10,10,https://www.google.com/,516,0,0
1667623347322,516,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,113,10,10,https://google.com/,516,0,0
1667623347839,539,Request1-1,200,OK,Thread Group 1-5,text,true,,17446,117,10,10,https://www.google.com/,538,0,0
1667623346896,1633,Request1,200,OK,Thread Group 1-7,text,true,,18214,230,10,10,https://www.google.com/,642,0,0
1667623346896,642,Request1-0,301,Moved Permanently,Thread Group 1-7,text,true,,703,113,10,10,https://google.com/,642,0,0
1667623347538,991,Request1-1,200,OK,Thread Group 1-7,text,true,,17511,117,10,10,https://www.google.com/,978,0,0
1667623347959,825,Request1,200,OK,Thread Group 1-2,text,true,,18185,230,10,10,https://www.google.com/,325,0,0
1667623347959,325,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,113,10,10,https://google.com/,325,0,0
1667623348284,500,Request1-1,200,OK,Thread Group 1-2,text,true,,17482,117,10,10,https://www.google.com/,491,0,0
1667623347931,856,Request1,200,OK,Thread Group 1-1,text,true,,18108,230,10,10,https://www.google.com/,342,0,0
1667623347931,342,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,113,10,10,https://google.com/,342,0,0
1667623348273,514,Request1-1,200,OK,Thread Group 1-1,text,true,,17405,117,10,10,https://www.google.com/,511,0,0
1667623347494,1602,Request1,200,OK,Thread Group 1-3,text,true,,18234,230,10,10,https://www.google.com/,1022,0,0
1667623347494,1022,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,113,10,10,https://google.com/,1022,0,0
1667623348516,580,Request1-1,200,OK,Thread Group 1-3,text,true,,17531,117,10,10,https://www.google.com/,580,0,0
1667623347805,1340,Request1,200,OK,Thread Group 1-8,text,true,,18244,230,10,10,https://www.google.com/,840,0,0
1667623347805,840,Request1-0,301,Moved Permanently,Thread Group 1-8,text,true,,703,113,10,10,https://google.com/,840,0,0
1667623348646,499,Request1-1,200,OK,Thread Group 1-8,text,true,,17541,117,10,10,https://www.google.com/,491,0,0
1667623347665,1633,Request1,200,OK,Thread Group 1-4,text,true,,18141,230,10,10,https://www.google.com/,997,0,0
1667623347665,997,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,113,10,10,https://google.com/,997,0,0
